group,seed,val_auc_pr,test_auc_pr,test_f1,test_fn,test_fp,test_precision,test_precision_at_100,test_recall,test_recall_at_100,test_roc_auc,test_tn,test_tp,threshold,train_seconds,test_inference_seconds,run_id,manifest_sha256
g0,42,0.8614115629425797,0.8322695725875484,0.8225806451612904,20,2,0.9622641509433962,0.6,0.7183098591549296,0.8450704225352113,0.9706253430960456,42486,51,0.6238309144973755,1.541985034942627,0.009742021560668945,2026-07-14_g0_seed42,55791cb7c28dde81aeb64b6d6ada0405860710dee6c6135f73876974ef04bb86
g0,43,0.9124861292856306,0.8860119618894864,0.8787878787878788,13,3,0.9508196721311475,0.62,0.8169014084507042,0.8732394366197183,0.9851709579639388,42485,58,0.29551318287849426,0.6949572563171387,0.004444122314453125,2026-07-14_g0_seed43,f6628a7c123bb0dd28234f61f94e47893c7adbba0f7ca3bce968078edca4063b
g0,44,0.8250737362831402,0.8455250541903904,0.8787878787878788,13,3,0.9508196721311475,0.6,0.8169014084507042,0.8450704225352113,0.9789146761571121,42485,58,0.19627514481544495,0.7589659690856934,0.004708051681518555,2026-07-14_g0_seed44,8a39592f26ba746ffd944bb37bd8d32ac54fcdd6915ae9244be7bfe7a31f8de9
g0,45,0.8313448367689742,0.8414662290427168,0.832,19,2,0.9629629629629629,0.6,0.7323943661971831,0.8450704225352113,0.9786261108356029,42486,52,0.6115878224372864,0.8512439727783203,0.005352973937988281,2026-07-14_g0_seed45,3f35608524954226895a7894d73a9159db31d8c49d63be9f30c2f82af9b779c0
g0,46,0.805746926322717,0.8591797282824604,0.8413793103448276,10,13,0.8243243243243243,0.61,0.8591549295774648,0.8591549295774648,0.9617164481901767,42475,61,0.0698901042342186,0.9750068187713623,0.0061528682708740234,2026-07-14_g0_seed46,7e50ea6ee04aa9ce52b685e1eff725cfc3ef5f1a36c3d2c5f69a1cc48f7c929c
g1,42,0.8425880589845758,0.7776064460812722,0.8253968253968254,19,3,0.9454545454545454,0.55,0.7323943661971831,0.7746478873239436,0.9712749051264847,42485,52,0.976166307926178,1.495366096496582,0.007220029830932617,2026-07-14_g1_seed42,70910a191e016aa31676a78c82718307419663a10686e1e695129ed896a3719f
g1,43,0.8668441259183665,0.8919560325056908,0.9022556390977443,11,2,0.967741935483871,0.62,0.8450704225352113,0.8732394366197183,0.9863209098310444,42486,60,0.9399687051773071,2.9658889770507812,0.018312931060791016,2026-07-14_g1_seed43,2f975e21e2e18668145a751257c493d36f60b4774d8b7d5dedf9d73a37755b3d
g1,44,0.8327262781031218,0.8401574637841905,0.9007633587786259,12,1,0.9833333333333333,0.6,0.8309859154929577,0.8450704225352113,0.9653184594291411,42487,59,0.9778438210487366,2.3242499828338623,0.011484146118164062,2026-07-14_g1_seed44,93c63b3e80d2daa457a20c7699a55f9a4cdded8edea76204af48205607b65052
g1,45,0.8285046072464299,0.8466139172381641,0.8333333333333334,16,6,0.9016393442622951,0.61,0.7746478873239436,0.8591549295774648,0.9699427974360948,42482,55,0.8999804258346558,2.958509922027588,0.015951871871948242,2026-07-14_g1_seed45,04c7c5899b1b46f2746be4870b3569156a2541129cad575a832155a81b5be825
g1,46,0.7900452458276999,0.8459520606154438,0.8549618320610687,15,4,0.9333333333333333,0.61,0.7887323943661971,0.8591549295774648,0.9687921825814613,42484,56,0.9898887276649475,1.184286117553711,0.005494832992553711,2026-07-14_g1_seed46,ef19c6f27379bee03c9d757641dfc3f41a6116d67e5d82750b3ad16ca245f2e0
